name,internal_id,address,valid_until,country_codes,countries,status,node_id,sourceID
"MICHAEL PAPAGEORGE, MR.",10001,MICHAEL PAPAGEORGE; MR. 106 NICHOLSON STREET BROOKLYN PRETORIA 0002; GAUTENG (PWV) SOUTH AFRICA,The Panama Papers  data is current through 2015,ZAF,South Africa,ACTIVE,11000001,Panama Papers
CORFIDUCIA ANSTALT,10004,,The Panama Papers  data is current through 2015,LIE,Liechtenstein,ACTIVE,11000002,Panama Papers
"DAVID, RONALD",10014,,The Panama Papers  data is current through 2015,MCO,Monaco,SUSPENDED,11000003,Panama Papers
"DE  BOUTSELIS, JEAN-PIERRE",10015,,The Panama Papers  data is current through 2015,BEL,Belgium,SUSPENDED,11000004,Panama Papers
THE LEVANT LAWYERS (TLL),10029,,The Panama Papers  data is current through 2015,LBN,Lebanon,ACTIVE,11000005,Panama Papers
"ABARTH, ANNELIESE",1004,"MS. ANNELIESE ABARTH 20 BOULEVARD PRINCESSE CHARLOTTE MONTE CARLO, MONACO",The Panama Papers  data is current through 2015,MCO,Monaco,UNRECOVERABLE ACCOUNTS,11000006,Panama Papers
FIGEST CONSEIL S.A.,10064,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000007,Panama Papers
MED ENERGY S.A.L.,10106,,The Panama Papers  data is current through 2015,LBN,Lebanon,ACTIVE,11000008,Panama Papers
TRUSTCO LABUAN SDN BHD,10116,TRUSTCO LABUAN SDN RHD (409273-A); UNIT 3; (1)  MAIN OFFICE TOWER; FINANCIAL PARK LABUAN JALAN MERDEKA; 87000 W.P. LABUAN MALAYSIA ATTENTION: LESLEY HAVILL,The Panama Papers  data is current through 2015,MYS,Malaysia,SUSPENDED,11000009,Panama Papers
SYL LOGIC SERVICES SA,10121,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000010,Panama Papers
"LAFEVER, RONALD L.",10140,,The Panama Papers  data is current through 2015,ESP,Spain,SUSPENDED,11000011,Panama Papers
"BROUGH, CHARLES (MR.)",1,MR. CHARLES BROUGH 61 SANDY LANE CHEAM; SURREY SM2 7EN ENGLAND; UNITED KINGDOM,The Panama Papers  data is current through 2015,GBR,United Kingdom,INACTIVE,11000012,Panama Papers
MOURANT & CO. SECRETARIES LIMITED,10,"MOURANT & CO. SECRETARIES LIMITED P. O. BOX 87 22 GRENVILLE STREET ST. HELIER, JERSEY JE4 8PX CHANNEL ISLANDS",The Panama Papers  data is current through 2015,JEY;GBR,Jersey;United Kingdom,SUSPENDED,11000013,Panama Papers
"CREVON, GEORGES-ALAIN",10008,,The Panama Papers  data is current through 2015,FRA,France,SUSPENDED,11000014,Panama Papers
FIDUCIAIRE FERNAND KARTHEISER & CIE,1003,FIDUCIAIRE FERNAND KARTHEISER & CIE 57 ROUTE D'ARLON L-1140 LUXEMBOURG,The Panama Papers  data is current through 2015,LUX,Luxembourg,SUSPENDED,11000015,Panama Papers
FIDUCIAIRE A. RICHARD S.A.,10050,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000016,Panama Papers
HOLLYSIDE MANAGEMENT LIMITED,10060,HOLLYSIDE MANAGEMENT LIMITED PA-TEH ROAD; SEC 4. NO.765; 5F-1 TAIPE 105; TAIWAN,The Panama Papers  data is current through 2015,TWN,"Taiwan, Province of China",SUSPENDED,11000017,Panama Papers
FUDEM S.A.,10069,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000018,Panama Papers
GBC GLOBAL BUSINESS CENTER SARL,10078,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000019,Panama Papers
"GNIDIN, MIHHAIL",10086,,The Panama Papers  data is current through 2015,EST,Estonia,ACTIVE,11000020,Panama Papers
"HAY, LIC. FRANK-OLIVIER",10096,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000021,Panama Papers
"CHERNITSKY, MAURICIO",1010,SR. MAURICIO CHERNITSKY MONTE PELVOUX 111 DESP. 102; LOMAS DE CHAPULTEPEC MEXICO DF 11000; MEXICO,The Panama Papers  data is current through 2015,MEX,Mexico,SUSPENDED,11000022,Panama Papers
LOMBARD ODIER DARRIER HENTSCH & CIE,10013,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000023,Panama Papers
CLAYVARD LTD.,10018,,The Panama Papers  data is current through 2015,GBR,United Kingdom,ACTIVE,11000024,Panama Papers
"DETOLEDO, TEDI",10020,,The Panama Papers  data is current through 2015,GBR,United Kingdom,SUSPENDED,11000025,Panama Papers
ECU FINANCE S.A.,10030,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000026,Panama Papers
"EDMOND, JACQUES",10033,,The Panama Papers  data is current through 2015,FRA,France,SUSPENDED,11000027,Panama Papers
"SWISS BANCOR GROUP, SOCIETE FIDUCIAIRE S.A.",10038,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000028,Panama Papers
FAVONA S.A.,10045,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000029,Panama Papers
MR. ERIC GOZLAN,10048,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000030,Panama Papers
FORVEST TRUST S.A.,10066,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000031,Panama Papers
OVERSEAS FINANCIAL MANAGEMENT CO.,10068,,The Panama Papers  data is current through 2015,ARG,Argentina,SUSPENDED,11000032,Panama Papers
MALKINS SOLICITORS,1008,,The Panama Papers  data is current through 2015,GBR,United Kingdom,SUSPENDED,11000033,Panama Papers
SECRETARIAL SERVICES LIMITED,1009,SECRETARIAL SERVICES LIMITED P.O. BOX 37 ST. ANNE'S HOUSE; VICTORIA STREET ALDERNEY; CHANNEL ISLANDS,The Panama Papers  data is current through 2015,GGY;GBR,Guernsey;United Kingdom,SUSPENDED,11000034,Panama Papers
"HILL, CARLOS E.",1000,"MR. CARLOS E. HILL CITYWIDE MORTGAGE 141 SOUTH HARRISON ST. EAST ORANGE, NEW JERSEY 07108 U.S.A.",The Panama Papers  data is current through 2015,USA,United States,SUSPENDED,11000035,Panama Papers
"DUPONT-WILLEMIN, ALBERT-LOUIS",10032,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000036,Panama Papers
ISAAC ELBAZ,10034,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000037,Panama Papers
EUROPEAN ACCOUNTANCY & LEGAL SERVICES LTD,10040,,The Panama Papers  data is current through 2015,GBR,United Kingdom,SUSPENDED,11000038,Panama Papers
FIDUCIAIRE JACQUES BORNAND S.A.,10054,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000039,Panama Papers
GESTAR S.A.,10081,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000040,Panama Papers
"HALABY, HASSAN J.",10097,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000041,Panama Papers
MOHAMED ABDUL MOTALEB HOUNI,10101,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000042,Panama Papers
J.A. PINÖSCH,10111,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000043,Panama Papers
HORIZON INVESTMENT SA,10115,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000044,Panama Papers
INTERADVICE ANSTALT,10129,,The Panama Papers  data is current through 2015,LIE,Liechtenstein,SUSPENDED,11000045,Panama Papers
"CORPORACION INTERMAQ, C.A.",10155,CORPORACION INTERMAQ; C.A. CORREO # 66219; ZONA POSTAL 1061 CARRETERA POTARE; KILOMETRO 11 SECTOR HOYO DE LA TAPIA; FILAS DE MARICHE SANTA LUCIA; ESTADO MIRANDA VENEZUELA,The Panama Papers  data is current through 2015,VEN,"Venezuela, Bolivarian Republic of",SUSPENDED,11000046,Panama Papers
PIERRE RICHA & PARTNERS S.A.,10110,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000047,Panama Papers
"DE KERRET, E.",10138,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000048,Panama Papers
MOORE STEPHENS (JERSEY),1014,MOORE STEPHENS (JERSEY) P. O. BOX 236 FIRST ISLAND HOUSE; PETER STREET ST. HELIER; JERSEY JE4 8SG CHANNEL ISLANDS,The Panama Papers  data is current through 2015,JEY;GBR,Jersey;United Kingdom,ACTIVE,11000049,Panama Papers
LASSER GESTION S.A.,10146,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000050,Panama Papers
"LEMA, CARLOS A.",10150,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000051,Panama Papers
"ZUOZ PHARMA, S.A.",10153,ZUOZ PHARMA; S.A.  EDIF. PULMOBRONK AVENIDA OESTE 20; ESQUINA PUENTE RESTAURADOR A RIO SANTA TERESA; CARACAS VENEZUELA,The Panama Papers  data is current through 2015,VEN,"Venezuela, Bolivarian Republic of",SUSPENDED,11000052,Panama Papers
INVICTA ADVISORY SA,10196,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000053,Panama Papers
P & P MANAGEMENT SERVICES,10197,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000054,Panama Papers
PAULETTE TSOI,10211,PAULETTE TSOI C/O MS. IRENE LAI  FLAT 5; 4TH FLOOR; ON WING BUILDING 49 MAN TAI STREET HUNGHOM; KOWLOON HONG KONG **S.I.**,The Panama Papers  data is current through 2015,HKG,Hong Kong,SUSPENDED,11000055,Panama Papers
"MAURER, LIC. PASCAL",10236,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000056,Panama Papers
UNION BANCAIRE PRIVEE UBP,10252,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000057,Panama Papers
"ANVRIL CONSULTORES ASOCIADOS, S.L.",10165,,The Panama Papers  data is current through 2015,ESP,Spain,SUSPENDED,11000058,Panama Papers
"FERREIRO PARGA, JAVIER",10210,,The Panama Papers  data is current through 2015,USA,United States,SUSPENDED,11000059,Panama Papers
MULTIFIDUCIAIRE GENEVE S.A.,10213,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000060,Panama Papers
"MUSKENS, PIERRE",10216,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000061,Panama Papers
MENTHA & ASSOCIES,10217,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000062,Panama Papers
"MERMOD, JOSE",10220,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000063,Panama Papers
BUDIN & ASSOCIES (ME CHRISTIAN GROSJEAN),10241,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000064,Panama Papers
WINSTON SECURITIES LTD.,10244,,The Panama Papers  data is current through 2015,GBR,United Kingdom,SUSPENDED,11000065,Panama Papers
UNION DE BANQUES SUISSES,10253,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000066,Panama Papers
"DUCRET, MERFIN, BERTA ,SPIRA & BORY VILLA",10278,,The Panama Papers  data is current through 2015,CHE,Switzerland,INACTIVE,11000067,Panama Papers
"SCHMIDT, JATON & ASSOCIES (VD)",10289,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000068,Panama Papers
SFG SOCIÉTÉ FIDUCIAIRE ET DE GÉRANCE SA,10302,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000069,Panama Papers
CORENER S.A.,10003,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000070,Panama Papers
SR. IVAN ROMERO,1001,"SR. IVAN ROMERO C/O SRA. MABEL DE ROMERO APARTADO POSTAL 0818-07140   PANAMA, REP. OF PANAMA",The Panama Papers  data is current through 2015,PAN,Panama,SUSPENDED,11000071,Panama Papers
DEPIGEST S.A.,10019,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000072,Panama Papers
DPS CONSEIL & REVISION S.A.,10023,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000073,Panama Papers
DRIANCOURT & CIE S.A.,10024,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000074,Panama Papers
"DRIZENKO, ERIC",10025,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000075,Panama Papers
"FAFALEN,  LIC. SERGE",10043,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000076,Panama Papers
FIDUCIAIRE CIARDO,10051,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000077,Panama Papers
FININFOR & ASSOCIES S.A.,10061,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000078,Panama Papers
"GHARBAWI, IZZET",10074,,The Panama Papers  data is current through 2015,GBR,United Kingdom,SUSPENDED,11000079,Panama Papers
ISLAND CONSULTANTS LIMITED,10088,ISLAND CONSULTANTS LIMITED PO BOX 287 PLACE DU COMMERCE ST. PETER PORT GUERNSEY GY1 3RL  ATTENTION MS. BERYL PEEL,The Panama Papers  data is current through 2015,GGY;GBR,Guernsey;United Kingdom,SUSPENDED,11000080,Panama Papers
SIFAIR INTERNATIONAL LTD.,10093,,The Panama Papers  data is current through 2015,ESP,Spain,SUSPENDED,11000081,Panama Papers
CRISTAL TRUST SERVICES S.A.,10009,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000082,Panama Papers
EXULTA ANSTALT,10011,,The Panama Papers  data is current through 2015,LIE,Liechtenstein,INACTIVE,11000083,Panama Papers
"REDWAN, A.B.",1002,"MR. A.B. REDWAN P.O. BOX 4061 JEDDAH, SAUDI ARABIA",The Panama Papers  data is current through 2015,SAU,Saudi Arabia,SUSPENDED,11000084,Panama Papers
DIFALCA S.A.,10021,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000085,Panama Papers
FB TRUSTEES S.A.,10046,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000086,Panama Papers
FIDEPAR S.A.,10049,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000087,Panama Papers
FIDUCIAIRE PIERRE FAIVRE,10056,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000088,Panama Papers
"FOPPA, GIORGIO",10062,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000089,Panama Papers
FIGEVAL SOCIETE FIDUCIAIRE S.A.,10065,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000090,Panama Papers
"HOLLO, FRANCIS E.",1007,"MR. FRANCIS E. HOLLO C/O SCANINVEST INC. 14880 SOUTH WEST 149 STREET MIAMI, FLORIDA 33196 U. S. A.",The Panama Papers  data is current through 2015,USA,United States,SUSPENDED,11000091,Panama Papers
GS MANAGEMENT S.A. (EX: GLANVILLE),10084,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000092,Panama Papers
GLENCORE INTERNATIONAL AG,10085,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000093,Panama Papers
GPF S.A.,10090,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000094,Panama Papers
KMA SERVICES S.A.,10105,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000095,Panama Papers
INVESTMENT & FINANCIAL CONSULTANTS GROUP,10130,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000096,Panama Papers
LEXINTER ABOGADOS S.L.,10134,,The Panama Papers  data is current through 2015,ESP,Spain,SUSPENDED,11000097,Panama Papers
"INAUDI, LIC. MATTEO",10144,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000098,Panama Papers
"MAGNIN, LIC. DANIELE-CHRISTINE",10164,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000099,Panama Papers
"ROCHAT, GILBERT",10177,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000100,Panama Papers
"ROCHAT, JEAN-PHILIPPE",10178,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000101,Panama Papers
INTER DEVELOPMENT CONSULTING S.A.,10182,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000102,Panama Papers
MERRILL LYNCH INTERNATIONAL INCORPORATED,10221,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000103,Panama Papers
MN TRUST,10228,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000104,Panama Papers
"MARTI, LIC. JEAN-FRANÇOIS",10232,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000105,Panama Papers
FIDEURO S.A.,10261,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000106,Panama Papers
MR. SERGEI & ANATOLI STRIGO,10281,,The Panama Papers  data is current through 2015,GBR,United Kingdom,ACTIVE,11000107,Panama Papers
"KISSELEV, GENNADI",10313,,The Panama Papers  data is current through 2015,DEU,Germany,SUSPENDED,11000108,Panama Papers
"VISION, EDWIN STRAESSLE",10354,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000109,Panama Papers
BDO SA,10378,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000110,Panama Papers
EXPERCO PARTENAIRES S.A.,10395,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000111,Panama Papers
MR. BIXIO ROMERIO,10408,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000112,Panama Papers
JOBERT INVESTMENTS INC.,1041,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000113,Panama Papers
STOCKBRIDGE DEVELOPMENTS INC.,1042,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000114,Panama Papers
ETERNAL UNITY HOLDINGS LIMITED,10433,,The Panama Papers  data is current through 2015,,,,11000115,Panama Papers
PHAEDON COUNINIOTIS,10442,,The Panama Papers  data is current through 2015,CHE,Switzerland,INACTIVE,11000116,Panama Papers
"GALLAMINI ALVAREZ, MAURICE",10452,,The Panama Papers  data is current through 2015,,,,11000117,Panama Papers
TRADALCO S.A.,10458,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000118,Panama Papers
TRAFALGAR TRUST COMPANY (JERSEY) LIMITED,10463,,The Panama Papers  data is current through 2015,,,,11000119,Panama Papers
AL-MARZOOK UNITED COMMERCIAL CO.,10466,AL-MARZOOK UNITED COMMERCIAL CO. P.O. BOX 26845 SAFAT 13129 KUWAIT,The Panama Papers  data is current through 2015,KWT,Kuwait,SUSPENDED,11000120,Panama Papers
"CANEPA, KOPEC, & ASOCIADOS",10470,,The Panama Papers  data is current through 2015,,,,11000121,Panama Papers
LOZE & KAISER,10161,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000122,Panama Papers
HIRSCH & CIE,10167,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000123,Panama Papers
"PRZEDBORSKI, LIC. DANIEL",10170,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000124,Panama Papers
INTERNATIONAL HAIR STUDIO-PANAMA,1018,"INTERNATIONAL HAIR STUDIO-PANAMA VIA ESPANA Y CALLE 52 E PANAMA, REP. DE PANAMA",The Panama Papers  data is current through 2015,PAN,Panama,SUSPENDED,11000125,Panama Papers
MME  MARTINE REYMOND BLAETTLER,10185,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000126,Panama Papers
NOVA ATLANTIS S.A.,10192,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000127,Panama Papers
PARKDALE INVESTMENTS S.A.,10201,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000128,Panama Papers
PEACEFUL INVESTMENT LIMITED,10215,"PEACEFUL INVESTMENT LIMITED 12/F., AON INSURANCE TOWER 3 LOCKHART ROAD HONG KONG",The Panama Papers  data is current through 2015,HKG,Hong Kong,SUSPENDED,11000129,Panama Papers
METZGER & VERNET,10223,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000130,Panama Papers
"MONSALVE, PILAR",10231,,The Panama Papers  data is current through 2015,ESP,Spain,SUSPENDED,11000131,Panama Papers
"CENTNER, WLOZIMIERZ",10234,,The Panama Papers  data is current through 2015,POL,Poland,SUSPENDED,11000132,Panama Papers
"ZIEGLER, LIC. ELISABETH",10249,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000133,Panama Papers
"ETUDE DE MES REYMOND, ULMANN & FISCHELE (THIERRY ULMANN)",10263,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000134,Panama Papers
"SAGLAV, MURAT",10258,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000135,Panama Papers
CORPORATE PERFORMANCE CONSULTING LTD.,10269,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000136,Panama Papers
"ULKUMEN, IBRAHIM",10272,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000137,Panama Papers
ZILVETI E SANDEN ADVOGADOS ASSOCIADOS,10285,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11000138,Panama Papers
"DUPUY-URISARI, SABINE",10286,SABINE DUPUY-URISARI 51B RUE PLATI MC 98000 MONACO,The Panama Papers  data is current through 2015,MCO,Monaco,ACTIVE,11000139,Panama Papers
"MANN, ANDREW F.",10290,MR. ANDREW F. MANN+ 20 BOULEVARD PRINCESSE CHARLOTTE MC 98000 MONACO *S.I.*,The Panama Papers  data is current through 2015,MCO,Monaco,SUSPENDED,11000140,Panama Papers
SYNERGIE S.A.,10291,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000141,Panama Papers
SERTUM S.A.,10298,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000142,Panama Papers
GRUPO MAYVE,10311,,The Panama Papers  data is current through 2015,ESP,Spain,SUSPENDED,11000143,Panama Papers
FIDARCO TREUHAND-UND VERWALTUNGS-ANSTALT,10316,,The Panama Papers  data is current through 2015,LIE,Liechtenstein,PROSPECT,11000144,Panama Papers
"THIERY, ALBERTO R.",10325,,The Panama Papers  data is current through 2015,ESP,Spain,ACTIVE,11000145,Panama Papers
CLYDE & CO. (LONDON),1036,"CLYDE & CO. 51 EASTCHEAP LONDON EC3M 1JP ENGLAND, UNITED KINGDOM",The Panama Papers  data is current through 2015,GBR,United Kingdom,ACTIVE,11000146,Panama Papers
"GUNGOREN, ALI",10094,,The Panama Papers  data is current through 2015,TUR,Turkey,SUSPENDED,11000147,Panama Papers
HELARB MANAGEMENT S.A.,10098,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000148,Panama Papers
"URIARTE, INIGO C.",10102,,The Panama Papers  data is current through 2015,ESP,Spain,SUSPENDED,11000149,Panama Papers
ICP SERVICES,10104,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000150,Panama Papers
"VON PLANTA, LIC. FLURIN",10113,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000151,Panama Papers
"PRIORI, FLORIANO",10122,,The Panama Papers  data is current through 2015,MCO,Monaco,ACTIVE,11000152,Panama Papers
INTERMANDAT S.A.,10123,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000153,Panama Papers
GALAXY ENTERTAINMENT COMPANY LIMITED,10125,"GALAXY ENTERTAINMENT COMPANY LIMITED 11/F., NAN SING BUILDING 727 NATHAN ROAD KOWLOON HONG KONG",The Panama Papers  data is current through 2015,HKG,Hong Kong,SUSPENDED,11000154,Panama Papers
"ISHAG, DAVID A.",10128,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000155,Panama Papers
"SHEHATA, SAAD Y.",1013,"MR. SAAD Y. SHEHATA P.O. BOX 80 24 MAHMOUD BASSIONI ST. (ANTIKHANA) ZAMALEX, CAIRO EGYPT",The Panama Papers  data is current through 2015,EGY,Egypt,SUSPENDED,11000156,Panama Papers
"JIGALIN, ALEX",10132,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000157,Panama Papers
"LANG, BERNARD",10145,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000158,Panama Papers
LAVANCHY S.A.,10147,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000159,Panama Papers
"GROSOLI, FRANCESCO",10092,,The Panama Papers  data is current through 2015,MCO,Monaco,ACTIVE,11000160,Panama Papers
"HURI, PETER",10103,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000161,Panama Papers
PRODIFIM S.A.,10107,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000162,Panama Papers
FORTIS INTERTRUST MANAGEMENT SA,10126,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000163,Panama Papers
K & M CAPITAL AND FINANCE S.A.,10135,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000164,Panama Papers
"LEBECQUE, DANIEL",10148,,The Panama Papers  data is current through 2015,CAN,Canada,SUSPENDED,11000165,Panama Papers
"RIME, GEORGES",10174,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000166,Panama Papers
JEAN-PIERRE RIVARA,10175,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000167,Panama Papers
"ROTH, DANIEL",10181,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000168,Panama Papers
OAK INTERNATIONAL FIDUCIARY SA,10188,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000169,Panama Papers
"PANTERA, LILIANE",10199,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000170,Panama Papers
MESSILA HOUSE LTD.,102,,The Panama Papers  data is current through 2015,GBR,United Kingdom,SUSPENDED,11000171,Panama Papers
NAVIGEST TRUST SERVICES AND SHIP MANAGEMENT S.A.,10203,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000172,Panama Papers
SUPERMARITIME  S.A. (SUISSE),10282,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000173,Panama Papers
SOCINVEST FINANCE SA,10287,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000174,Panama Papers
FIDUCIAIRE SAFIDEV S.A.,10304,,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11000175,Panama Papers
FIDUCIAIRE JEAN-MARIE WEYER,10309,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000176,Panama Papers
"ORMYRON, ISAAC",10322,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000177,Panama Papers
TPM TAX PLANNING MANAGEMENT COMPANY LDA.,10328,,The Panama Papers  data is current through 2015,PRT,Portugal,ACTIVE,11000178,Panama Papers
LEGAL BUREAU CONSULTANT,10337,LEGAL BUREAU CONSULTANT  APT. 2; 22; OLYMPIYSKY PROSPECT; MOSCOW; 129110 RUSSIA   **S.I.**,The Panama Papers  data is current through 2015,RUS,Russian Federation,SUSPENDED,11000179,Panama Papers
"SIEBER, LIC. RUDOLF",10341,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000180,Panama Papers
"MICHELSEN, KIRSTEN",10357,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11000181,Panama Papers
